symbol,date,close,adjusted_close,change,matched_volume,matched_value,agreement_volume,agreement_value,open,high,low
FPT,23/05/2017,48.85,10.66,+0.35 (+0.72%),2066240,101.09,0,0,48.65,49.4,48.5
FPT,24/05/2017,49.1,10.71,+0.25 (+0.51%),1304860,64.08,0,0,49.2,49.25,48.85
FPT,25/05/2017,42.6,10.91,+0.77 (+1.84%),1713400,73.1,0,0,43,43,42.45
FPT,26/05/2017,42.1,10.78,-0.50 (-1.17%),868540,36.65,0,0,42.6,42.6,42
FPT,29/05/2017,42.6,10.91,+0.50 (+1.19%),634230,26.96,0,0,42.1,42.7,42.1
FPT,30/05/2017,43,11.01,+0.40 (+0.94%),1868870,80.21,0,0,42.3,43.65,42.3
FPT,31/05/2017,43,11.01,0 (0.00%),1063000,46.03,0,0,43,43.55,43
FPT,02/06/2017,43.25,11.08,-0.20 (-0.46%),809190,35.07,0,0,43.6,43.7,43.1
FPT,05/06/2017,43.25,11.08,0 (0.00%),666610,28.89,0,0,43.6,43.65,43.15
FPT,06/06/2017,44.3,11.35,+1.05 (+2.43%),1481770,65.48,0,0,43.3,44.8,43.3
FPT,07/06/2017,44.05,11.28,-0.25 (-0.56%),842710,37.37,0,0,44.8,44.8,44.05
FPT,08/06/2017,44.2,11.32,+0.15 (+0.34%),630430,27.8,0,0,44,44.35,43.7
FPT,09/06/2017,45.15,11.56,+0.95 (+2.15%),1569640,70.68,0,0,44.2,45.5,44.2
FPT,12/06/2017,44.7,11.45,-0.45 (-1.00%),553000,24.79,0,0,45,45.2,44.6
FPT,13/06/2017,45.35,11.62,+0.65 (+1.45%),1573850,71.51,0,0,45,45.9,45
FPT,14/06/2017,45.2,11.58,-0.15 (-0.33%),780590,35.35,0,0,45.8,45.8,45.1
FPT,15/06/2017,45.4,11.63,+0.20 (+0.44%),615030,27.8,0,0,45.25,45.4,45.05
FPT,16/06/2017,45.7,11.71,+0.30 (+0.66%),603990,27.49,0,0,45.5,45.75,45.3
FPT,19/06/2017,46.3,11.86,+0.60 (+1.31%),1192040,54.96,0,0,46,46.4,45.95
FPT,20/06/2017,46.15,11.82,-0.15 (-0.32%),762030,35.18,0,0,46.5,46.5,46
FPT,21/06/2017,47.5,12.17,+1.35 (+2.93%),1942410,90.7,0,0,46.3,47.5,46.05
FPT,22/06/2017,47.6,12.19,+0.10 (+0.21%),1244630,59.57,0,0,47.3,48.3,47.3
FPT,23/06/2017,47.45,12.15,-0.15 (-0.32%),759780,36.12,0,0,47.6,47.8,47.2
FPT,26/06/2017,46.7,11.96,-0.75 (-1.58%),1375990,64.65,0,0,47.85,47.85,46.5
FPT,27/06/2017,45.7,11.71,-1.00 (-2.14%),2818290,129.38,0,0,46.5,46.6,45.45
FPT,28/06/2017,46.35,11.87,+0.65 (+1.42%),940300,43.22,0,0,45.9,46.4,45.65
FPT,29/06/2017,46.5,11.91,+0.15 (+0.32%),730260,33.93,0,0,46.3,46.65,46.3
FPT,30/06/2017,46.85,12,+0.35 (+0.75%),1117400,51.94,0,0,46.5,46.85,45.8
FPT,03/07/2017,46.4,11.88,-0.45 (-0.96%),662700,30.77,0,0,46.85,46.85,46.3
FPT,04/07/2017,46.6,11.94,+0.20 (+0.43%),922560,42.84,0,0,46.5,46.7,46.3
FPT,05/07/2017,46.7,11.96,+0.10 (+0.21%),508490,23.68,0,0,46.5,46.7,46.45
FPT,06/07/2017,47.9,12.27,+1.20 (+2.57%),1924630,91.16,0,0,46.75,47.9,46.6
FPT,07/07/2017,48.6,12.45,+0.70 (+1.46%),2447400,119.42,0,0,48.1,49.4,48
FPT,10/07/2017,48.2,12.35,-0.40 (-0.82%),1816570,87.62,0,0,48.2,48.7,47.6
FPT,11/07/2017,47.6,12.19,-0.60 (-1.24%),1027560,48.85,0,0,47.9,48.1,47
FPT,12/07/2017,47.95,12.28,+0.35 (+0.74%),758630,36.12,0,0,47.9,48.1,47.05
FPT,13/07/2017,48.85,12.51,+0.90 (+1.88%),972830,47.19,0,0,47.8,48.85,47.7
FPT,14/07/2017,48.7,12.47,-0.15 (-0.31%),541080,26.32,0,0,48.85,48.95,48.4
FPT,17/07/2017,48,12.29,-0.70 (-1.44%),905330,43.51,0,0,48.7,48.7,47.7
FPT,18/07/2017,47.8,12.24,-0.20 (-0.42%),866850,41.29,0,0,47.6,48,47.35
FPT,19/07/2017,46.9,12.01,-0.90 (-1.88%),984170,46.68,0,0,47.8,48.3,46.6
FPT,20/07/2017,46.8,11.99,-0.10 (-0.21%),896480,41.65,0,0,46.6,46.9,46.2
FPT,21/07/2017,46.2,11.83,-0.60 (-1.28%),663330,30.91,0,0,47,47.3,46.2
FPT,24/07/2017,46.5,11.91,+0.30 (+0.65%),596990,27.6,0,0,46.2,46.6,46
FPT,25/07/2017,46.7,11.96,+0.20 (+0.43%),592490,27.54,0,0,46.5,46.9,46.2
FPT,26/07/2017,47.8,12.24,+1.10 (+2.36%),702050,33.3,0,0,46.7,47.8,46.7
FPT,27/07/2017,48.2,12.35,+0.40 (+0.84%),1244010,60.14,0,0,48,48.65,47.7
FPT,28/07/2017,48.55,12.44,+0.35 (+0.73%),1611740,78.12,0,0,48.2,48.65,47.9
FPT,31/07/2017,48.35,12.38,-0.20 (-0.41%),663380,32.1,0,0,48.5,48.6,48.1
FPT,02/08/2017,49.4,12.65,+0.40 (+0.82%),2150390,106.6,0,0,49.15,49.9,48.7
FPT,03/08/2017,50.1,12.83,+0.70 (+1.42%),1998770,100.69,0,0,49.7,51.1,49.5
FPT,04/08/2017,50.1,12.83,0 (0.00%),827080,41.26,0,0,50.3,50.4,49.55
FPT,07/08/2017,49.85,12.77,-0.25 (-0.50%),766980,38.25,0,0,50.1,50.1,49.7
FPT,08/08/2017,48.95,12.54,-0.90 (-1.81%),1460460,71.93,0,0,49.85,50,48.95
FPT,09/08/2017,48.4,12.4,-0.55 (-1.12%),1842380,89.28,0,0,48.9,48.9,48.15
FPT,10/08/2017,48.9,12.53,+0.50 (+1.03%),872820,42.5,0,0,48,48.95,48
FPT,11/08/2017,49.45,12.67,+0.55 (+1.12%),548460,26.96,0,0,49,49.5,48.6
FPT,14/08/2017,49.2,12.6,-0.25 (-0.51%),773240,38.28,0,0,50,50,49.2
FPT,15/08/2017,48.9,12.53,-0.30 (-0.61%),820690,40.08,0,0,49.2,49.2,48.5
FPT,16/08/2017,48.6,12.45,-0.30 (-0.61%),814430,39.53,0,0,48.9,48.9,48.45
FPT,17/08/2017,47.4,12.4,-0.20 (-0.42%),640030,30.55,0,0,48,48.2,47.4
FPT,18/08/2017,47.5,12.42,+0.10 (+0.21%),363920,17.23,0,0,47.4,47.8,46.9
FPT,21/08/2017,47.75,12.49,+0.25 (+0.53%),355750,16.96,0,0,48,48,47.5
FPT,22/08/2017,47.1,12.32,-0.65 (-1.36%),416720,19.77,0,0,47.7,47.75,47.1
FPT,23/08/2017,47.2,12.34,+0.10 (+0.21%),517300,24.44,0,0,47,47.5,47
FPT,24/08/2017,47.7,12.47,+0.50 (+1.06%),433820,20.64,0,0,47.4,47.8,47.2
FPT,25/08/2017,47.5,12.42,-0.20 (-0.42%),374570,17.85,0,0,47.8,47.85,47.5
FPT,28/08/2017,47.6,12.45,+0.10 (+0.21%),569140,27.03,0,0,47.3,47.6,47.25
FPT,29/08/2017,47.75,12.49,+0.15 (+0.32%),828090,39.56,0,0,47.5,48.1,47.45
FPT,30/08/2017,47.8,12.5,+0.05 (+0.10%),322140,15.38,0,0,47.65,47.9,47.55
FPT,31/08/2017,48.5,12.68,+0.70 (+1.46%),1115030,53.96,0,0,47.8,48.8,47.8
FPT,05/09/2017,48.5,12.68,-0.10 (-0.21%),447330,21.68,0,0,48.6,48.6,48.25
FPT,06/09/2017,48.2,12.61,-0.30 (-0.62%),510590,24.56,0,0,48.45,48.45,47.8
FPT,07/09/2017,47.9,12.53,-0.30 (-0.62%),479950,23.04,0,0,48,48.3,47.9
FPT,08/09/2017,47.7,12.47,-0.20 (-0.42%),478140,22.86,0,0,48,48,47.7
FPT,11/09/2017,47.35,12.38,-0.35 (-0.73%),843320,40.2,0,0,47.7,48.2,47.3
FPT,12/09/2017,48.1,12.58,+0.75 (+1.58%),853680,40.83,0,0,47.5,48.1,47.4
FPT,13/09/2017,48.75,12.75,+0.65 (+1.35%),1944610,94.77,0,0,48.3,49.4,48.3
FPT,14/09/2017,48.35,12.64,-0.40 (-0.82%),857090,41.71,0,0,49,49,48.35
FPT,15/09/2017,48.2,12.61,-0.15 (-0.31%),794420,38.25,0,0,48.3,48.5,48
FPT,18/09/2017,48.35,12.64,+0.15 (+0.31%),803430,38.74,0,0,48.35,48.4,48
FPT,19/09/2017,48.4,12.66,+0.05 (+0.10%),869330,42.24,0,0,48.5,48.85,48.4
FPT,20/09/2017,48.65,12.72,+0.25 (+0.52%),631410,30.65,0,0,48.65,48.75,48.35
FPT,21/09/2017,49.4,12.92,+0.75 (+1.54%),2667670,131.26,0,0,48.9,49.6,48.75
FPT,22/09/2017,49.45,12.93,+0.05 (+0.10%),1394280,69.35,0,0,49.6,49.95,49.4
FPT,25/09/2017,48.85,12.78,-0.60 (-1.21%),745050,36.68,0,0,49.75,49.75,48.85
FPT,26/09/2017,49,12.81,+0.15 (+0.31%),878850,42.76,0,0,48.85,49,48.5
FPT,27/09/2017,49,12.81,0 (0.00%),868830,42.65,0,0,49,49.4,48.7
FPT,28/09/2017,48.95,12.8,-0.05 (-0.10%),774370,37.85,0,0,49,49.25,48.4
FPT,29/09/2017,48.75,12.75,-0.20 (-0.41%),395560,19.3,0,0,48.9,49,48.6
FPT,02/10/2017,48.2,12.61,-0.55 (-1.13%),911190,44.18,0,0,48.75,48.95,48.05
FPT,03/10/2017,47.85,12.51,-0.35 (-0.73%),1087970,52.13,0,0,48.2,48.2,47.65
FPT,04/10/2017,48.05,12.57,+0.20 (+0.42%),518400,24.87,0,0,47.9,48.2,47.8
FPT,05/10/2017,48.3,12.63,+0.25 (+0.52%),658270,31.79,0,0,48.4,48.95,48
FPT,06/10/2017,48.75,12.75,+0.45 (+0.93%),569960,27.69,0,0,48.3,48.8,48.3
FPT,09/10/2017,48.8,12.76,+0.05 (+0.10%),585830,28.54,0,0,49,49,48.6
FPT,10/10/2017,49.3,12.89,+0.50 (+1.02%),1234640,60.51,0,0,48.75,49.3,48.75
FPT,11/10/2017,49.9,13.05,+0.60 (+1.22%),2540980,127.2,0,0,49.4,50.5,49.3
FPT,12/10/2017,51,13.34,+1.10 (+2.20%),2004500,101.98,0,0,50,51.4,50
FPT,13/10/2017,51.2,13.39,+0.20 (+0.39%),1078760,54.9,0,0,51.2,51.3,50.6
FPT,16/10/2017,51.4,13.44,+0.20 (+0.39%),1249640,64.38,0,0,51,52,50.9
FPT,17/10/2017,51.5,13.47,+0.10 (+0.19%),861260,44.18,0,0,51.5,51.5,50.9
FPT,18/10/2017,50.5,13.21,-1.00 (-1.94%),1237160,63.3,0,0,51.4,51.9,50.5
FPT,19/10/2017,50.6,13.23,+0.10 (+0.20%),977340,49.37,0,0,50.5,51.2,50.1
FPT,20/10/2017,50.3,13.15,-0.30 (-0.59%),767080,38.6,0,0,50.3,50.7,50
FPT,23/10/2017,49.3,12.89,-1.00 (-1.99%),1116150,55.54,0,0,49.3,50.3,49.3
FPT,24/10/2017,49.3,12.89,0 (0.00%),879390,43.45,0,0,49.3,49.8,49.15
